scenario_id,model_id,kind,path,score,status
IMG-GEDIT-09,,original_input (source),inputs/IMG-GEDIT-09/IMG-GEDIT-09-source.png,,frozen
IMG-GEDIT-09,gemini-3-1-flash-image-vertex,output,outputs/image/IMG-GEDIT-09/gemini-3-1-flash-image-vertex.png,7.6,scored
IMG-GEDIT-09,gpt-image-2-medium,output,outputs/image/IMG-GEDIT-09/gpt-image-2-medium.png,10.0,scored
IMG-GEDIT-10,,original_input (source),inputs/IMG-GEDIT-10/IMG-GEDIT-10-source.png,,frozen
IMG-GEDIT-10,gemini-3-1-flash-image-vertex,output,outputs/image/IMG-GEDIT-10/gemini-3-1-flash-image-vertex.png,10.0,scored
IMG-GEDIT-10,gpt-image-2-medium,output,outputs/image/IMG-GEDIT-10/gpt-image-2-medium.png,10.0,scored
IMG-GEDIT-13,,original_input (source),inputs/IMG-GEDIT-13/IMG-GEDIT-13-source.png,,frozen
IMG-GEDIT-13,gemini-3-1-flash-image-vertex,output,outputs/image/IMG-GEDIT-13/gemini-3-1-flash-image-vertex.png,10.0,scored
IMG-GEDIT-13,gpt-image-2-medium,output,outputs/image/IMG-GEDIT-13/gpt-image-2-medium.png,10.0,scored
IMG-GEDIT-14,,original_input (source),inputs/IMG-GEDIT-14/IMG-GEDIT-14-source.png,,frozen
IMG-GEDIT-14,gemini-3-1-flash-image-vertex,output,outputs/image/IMG-GEDIT-14/gemini-3-1-flash-image-vertex.png,10.0,scored
IMG-GEDIT-14,gpt-image-2-medium,output,outputs/image/IMG-GEDIT-14/gpt-image-2-medium.png,7.4444,scored
IMG-GEDIT-17,,original_input (source),inputs/IMG-GEDIT-17/IMG-GEDIT-17-source.png,,frozen
IMG-GEDIT-17,gemini-3-1-flash-image-vertex,output,outputs/image/IMG-GEDIT-17/gemini-3-1-flash-image-vertex.png,10.0,scored
IMG-GEDIT-17,gpt-image-2-medium,output,outputs/image/IMG-GEDIT-17/gpt-image-2-medium.png,10.0,scored
