scenario_id,model_id,kind,path,score,status
VID-GEDIT-01,,original_input (source),inputs/VID-GEDIT-01/VID-GEDIT-01-source.mp4,,frozen
VID-GEDIT-01,omni-flash-vertex,output,outputs/video/VID-GEDIT-01/omni-flash-vertex.mp4,7.25,scored
VID-GEDIT-01,seedance-2-5,output,outputs/video/VID-GEDIT-01/seedance-2-5.mp4,,failed
VID-GEDIT-02,,original_input (source),inputs/VID-GEDIT-02/VID-GEDIT-02-source.mp4,,frozen
VID-GEDIT-02,omni-flash-vertex,output,outputs/video/VID-GEDIT-02/omni-flash-vertex.mp4,6.0,scored
VID-GEDIT-02,seedance-2-5,output,outputs/video/VID-GEDIT-02/seedance-2-5.mp4,,failed
VID-GEDIT-03,,original_input (source),inputs/VID-GEDIT-03/VID-GEDIT-03-source.mp4,,frozen
VID-GEDIT-03,omni-flash-vertex,output,outputs/video/VID-GEDIT-03/omni-flash-vertex.mp4,7.25,scored
VID-GEDIT-03,seedance-2-5,output,outputs/video/VID-GEDIT-03/seedance-2-5.mp4,,failed
VID-GEDIT-04,,original_input (source),inputs/VID-GEDIT-04/VID-GEDIT-04-source.mp4,,frozen
VID-GEDIT-04,omni-flash-vertex,output,outputs/video/VID-GEDIT-04/omni-flash-vertex.mp4,10.0,scored
VID-GEDIT-04,seedance-2-5,output,outputs/video/VID-GEDIT-04/seedance-2-5.mp4,,failed
VID-GEDIT-05,,original_input (source),inputs/VID-GEDIT-05/VID-GEDIT-05-source.mp4,,frozen
VID-GEDIT-05,omni-flash-vertex,output,outputs/video/VID-GEDIT-05/omni-flash-vertex.mp4,9.0,scored
VID-GEDIT-05,seedance-2-5,output,outputs/video/VID-GEDIT-05/seedance-2-5.mp4,,failed
VID-GEDIT-06,,original_input (source),inputs/VID-GEDIT-06/VID-GEDIT-06-source.mp4,,frozen
VID-GEDIT-06,omni-flash-vertex,output,outputs/video/VID-GEDIT-06/omni-flash-vertex.mp4,10.0,scored
VID-GEDIT-06,seedance-2-5,output,outputs/video/VID-GEDIT-06/seedance-2-5.mp4,,failed
VID-GEDIT-07,,original_input (source),inputs/VID-GEDIT-07/VID-GEDIT-07-source.mp4,,frozen
VID-GEDIT-07,omni-flash-vertex,output,outputs/video/VID-GEDIT-07/omni-flash-vertex.mp4,8.125,scored
VID-GEDIT-07,seedance-2-5,output,outputs/video/VID-GEDIT-07/seedance-2-5.mp4,,failed
VID-GEDIT-08,,original_input (source),inputs/VID-GEDIT-08/VID-GEDIT-08-source.mp4,,frozen
VID-GEDIT-08,omni-flash-vertex,output,outputs/video/VID-GEDIT-08/omni-flash-vertex.mp4,8.25,scored
VID-GEDIT-08,seedance-2-5,output,outputs/video/VID-GEDIT-08/seedance-2-5.mp4,,failed
VID-GEDIT-09,,original_input (source),inputs/VID-GEDIT-09/VID-GEDIT-09-source.mp4,,frozen
VID-GEDIT-09,omni-flash-vertex,output,outputs/video/VID-GEDIT-09/omni-flash-vertex.mp4,10.0,scored
VID-GEDIT-09,seedance-2-5,output,outputs/video/VID-GEDIT-09/seedance-2-5.mp4,,failed
VID-GEDIT-10,,original_input (source),inputs/VID-GEDIT-10/VID-GEDIT-10-source.mp4,,frozen
VID-GEDIT-10,omni-flash-vertex,output,outputs/video/VID-GEDIT-10/omni-flash-vertex.mp4,5.0,scored
VID-GEDIT-10,seedance-2-5,output,outputs/video/VID-GEDIT-10/seedance-2-5.mp4,,failed
VID-GEDIT-11,,original_input (source),inputs/VID-GEDIT-11/VID-GEDIT-11-source.mp4,,frozen
VID-GEDIT-11,omni-flash-vertex,output,outputs/video/VID-GEDIT-11/omni-flash-vertex.mp4,9.875,scored
VID-GEDIT-11,seedance-2-5,output,outputs/video/VID-GEDIT-11/seedance-2-5.mp4,,failed
VID-GEDIT-12,,original_input (source),inputs/VID-GEDIT-12/VID-GEDIT-12-source.mp4,,frozen
VID-GEDIT-12,omni-flash-vertex,output,outputs/video/VID-GEDIT-12/omni-flash-vertex.mp4,10.0,scored
VID-GEDIT-12,seedance-2-5,output,outputs/video/VID-GEDIT-12/seedance-2-5.mp4,,failed
VID-GI2V-01,,original_input (photo),inputs/VID-GI2V-01/VID-GI2V-01-still.png,,frozen
VID-GI2V-01,omni-flash-vertex,output,outputs/video/VID-GI2V-01/omni-flash-vertex.mp4,9.0,scored
VID-GI2V-01,seedance-2-5,output,outputs/video/VID-GI2V-01/seedance-2-5.mp4,8.5,scored
VID-GI2V-02,,original_input (photo),inputs/VID-GI2V-02/VID-GI2V-02-still.png,,frozen
VID-GI2V-02,omni-flash-vertex,output,outputs/video/VID-GI2V-02/omni-flash-vertex.mp4,9.85,scored
VID-GI2V-02,seedance-2-5,output,outputs/video/VID-GI2V-02/seedance-2-5.mp4,9.825,scored
VID-GI2V-03,,original_input (photo),inputs/VID-GI2V-03/VID-GI2V-03-still.png,,frozen
VID-GI2V-03,omni-flash-vertex,output,outputs/video/VID-GI2V-03/omni-flash-vertex.mp4,9.5,scored
VID-GI2V-03,seedance-2-5,output,outputs/video/VID-GI2V-03/seedance-2-5.mp4,9.875,scored
VID-GI2V-04,,original_input (photo),inputs/VID-GI2V-04/VID-GI2V-04-still.png,,frozen
VID-GI2V-04,omni-flash-vertex,output,outputs/video/VID-GI2V-04/omni-flash-vertex.mp4,7.9,scored
VID-GI2V-04,seedance-2-5,output,outputs/video/VID-GI2V-04/seedance-2-5.mp4,10.0,scored
VID-GI2V-05,,original_input (photo),inputs/VID-GI2V-05/VID-GI2V-05-still.png,,frozen
VID-GI2V-05,omni-flash-vertex,output,outputs/video/VID-GI2V-05/omni-flash-vertex.mp4,5.75,scored
VID-GI2V-05,seedance-2-5,output,outputs/video/VID-GI2V-05/seedance-2-5.mp4,8.225,scored
VID-GI2V-06,,original_input (photo),inputs/VID-GI2V-06/VID-GI2V-06-still.png,,frozen
VID-GI2V-06,omni-flash-vertex,output,outputs/video/VID-GI2V-06/omni-flash-vertex.mp4,9.15,scored
VID-GI2V-07,,original_input (photo),inputs/VID-GI2V-07/VID-GI2V-07-still.png,,frozen
VID-GI2V-07,omni-flash-vertex,output,outputs/video/VID-GI2V-07/omni-flash-vertex.mp4,10.0,scored
VID-GI2V-07,seedance-2-5,output,outputs/video/VID-GI2V-07/seedance-2-5.mp4,8.35,scored
VID-GI2V-08,,original_input (photo),inputs/VID-GI2V-08/VID-GI2V-08-still.png,,frozen
VID-GI2V-08,omni-flash-vertex,output,outputs/video/VID-GI2V-08/omni-flash-vertex.mp4,6.55,scored
