scenario_id,model_id,kind,path,score,status
VID-AD-01,,original_input (reference),inputs/VID-AD-01/VID-AD-01-reference.png,,frozen
VID-AD-01,omni-flash-vertex,output,outputs/video/VID-AD-01/omni-flash-vertex.mp4,,measured
VID-AD-01,seedance-2-5,output,outputs/video/VID-AD-01/seedance-2-5.mp4,,measured
VID-AD-02,,original_input (reference),inputs/VID-AD-02/VID-AD-02-reference.png,,frozen
VID-AD-02,omni-flash-vertex,output,outputs/video/VID-AD-02/omni-flash-vertex.mp4,,measured
VID-AD-02,seedance-2-5,output,outputs/video/VID-AD-02/seedance-2-5.mp4,,measured
VID-AD-03,,original_input (reference),inputs/VID-AD-03/VID-AD-03-reference.png,,frozen
VID-AD-03,omni-flash-vertex,output,outputs/video/VID-AD-03/omni-flash-vertex.mp4,,measured
VID-AD-03,seedance-2-5,output,outputs/video/VID-AD-03/seedance-2-5.mp4,,measured
VID-AD-04,,original_input (reference),inputs/VID-AD-04/VID-AD-04-reference.png,,frozen
VID-AD-04,omni-flash-vertex,output,outputs/video/VID-AD-04/omni-flash-vertex.mp4,,measured
VID-AD-04,seedance-2-5,output,outputs/video/VID-AD-04/seedance-2-5.mp4,,measured
VID-AD-05,,original_input (logo),inputs/VID-AD-05/VID-AD-05-logo.png,,frozen
VID-AD-05,omni-flash-vertex,output,outputs/video/VID-AD-05/omni-flash-vertex.mp4,,measured
VID-AD-06,,original_input (reference),inputs/VID-AD-06/VID-AD-06-reference.png,,frozen
VID-AD-06,omni-flash-vertex,invalid_attempt,outputs/video/VID-AD-06/omni-flash-vertex.invalid-1.mp4,,invalid
VID-AD-06,omni-flash-vertex,output,outputs/video/VID-AD-06/omni-flash-vertex.mp4,,invalid
VID-AD-06,seedance-2-5,invalid_attempt,outputs/video/VID-AD-06/seedance-2-5.invalid-1.mp4,,invalid
VID-AD-06,seedance-2-5,output,outputs/video/VID-AD-06/seedance-2-5.mp4,,invalid
VID-AD-07,,original_input (reference),inputs/VID-AD-07/VID-AD-07-reference.png,,frozen
VID-AD-07,omni-flash-vertex,output,outputs/video/VID-AD-07/omni-flash-vertex.mp4,,measured
VID-AD-07,seedance-2-5,output,outputs/video/VID-AD-07/seedance-2-5.mp4,,measured
VID-AD-08,,original_input (reference1),inputs/VID-AD-08/VID-AD-08-reference1.png,,frozen
VID-AD-08,,original_input (reference2),inputs/VID-AD-08/VID-AD-08-reference2.png,,frozen
VID-AD-08,,original_input (reference3),inputs/VID-AD-08/VID-AD-08-reference3.png,,frozen
VID-AD-08,omni-flash-vertex,output,outputs/video/VID-AD-08/omni-flash-vertex.mp4,,measured
VID-AD-09,omni-flash-vertex,output,outputs/video/VID-AD-09/omni-flash-vertex.mp4,,measured
VID-AD-09,seedance-2-5,output,outputs/video/VID-AD-09/seedance-2-5.mp4,,measured
VID-AD-10,,original_input (reference),inputs/VID-AD-10/VID-AD-10-reference.png,,frozen
VID-AD-10,,original_input (logo),inputs/VID-AD-10/VID-AD-10-logo.png,,frozen
VID-AD-10,omni-flash-vertex,output,outputs/video/VID-AD-10/omni-flash-vertex.mp4,,measured
VID-AD-10,seedance-2-5,output,outputs/video/VID-AD-10/seedance-2-5.mp4,,measured
