scenario_id,model_id,kind,path,score,status
IMG-BRAND-04,,original_input (source),inputs/IMG-BRAND-04/IMG-BRAND-04-source.png,,frozen
IMG-BRAND-04,,original_input (reference),inputs/IMG-BRAND-04/IMG-BRAND-04-reference.png,,frozen
IMG-BRAND-04,gemini-3-pro-image-vertex,output,outputs/image/IMG-BRAND-04/gemini-3-pro-image-vertex.png,,measured
IMG-BRAND-04,gpt-image-2-high,output,outputs/image/IMG-BRAND-04/gpt-image-2-high.png,,measured
IMG-BRAND-05,,original_input (source),inputs/IMG-BRAND-05/IMG-BRAND-05-source.png,,frozen
IMG-BRAND-05,,original_input (reference),inputs/IMG-BRAND-05/IMG-BRAND-05-reference.png,,frozen
IMG-BRAND-05,,original_input (reference2),inputs/IMG-BRAND-05/IMG-BRAND-05-reference2.png,,frozen
IMG-BRAND-05,gemini-3-pro-image-vertex,output,outputs/image/IMG-BRAND-05/gemini-3-pro-image-vertex.png,,measured
IMG-BRAND-05,gpt-image-2-high,output,outputs/image/IMG-BRAND-05/gpt-image-2-high.png,,measured
IMG-GAME-03,gemini-3-pro-image-vertex,output,outputs/image/IMG-GAME-03/gemini-3-pro-image-vertex.png,,measured
IMG-GAME-03,gpt-image-2-high,output,outputs/image/IMG-GAME-03/gpt-image-2-high.png,,measured
IMG-GAME-05,gemini-3-pro-image-vertex,output,outputs/image/IMG-GAME-05/gemini-3-pro-image-vertex.png,,measured
IMG-GAME-05,gpt-image-2-high,output,outputs/image/IMG-GAME-05/gpt-image-2-high.png,,measured
IMG-GAME-10,,original_input (source),inputs/IMG-GAME-10/IMG-GAME-base-heavy.png,,frozen
IMG-GAME-10,gemini-3-pro-image-vertex,output,outputs/image/IMG-GAME-10/gemini-3-pro-image-vertex.png,,measured
IMG-GAME-10,gpt-image-2-high,output,outputs/image/IMG-GAME-10/gpt-image-2-high.png,,measured
IMG-GAME-11,,original_input (source),inputs/IMG-GAME-11/IMG-GAME-base-urban.png,,frozen
IMG-GAME-11,gemini-3-pro-image-vertex,output,outputs/image/IMG-GAME-11/gemini-3-pro-image-vertex.png,,measured
