scenario_id,model_id,kind,path,score,status
IMG-GEDIT-15,,original_input (source),inputs/IMG-GEDIT-15/IMG-GEDIT-15-source.png,,frozen
IMG-GEDIT-15,gpt-image-2-high,output,outputs/image/IMG-GEDIT-15/gpt-image-2-high.png,,measured
IMG-GEDIT-16,,original_input (source),inputs/IMG-GEDIT-16/IMG-GEDIT-16-source.png,,frozen
IMG-GEDIT-16,,original_input (reference),inputs/IMG-GEDIT-16/IMG-GEDIT-16-reference.png,,frozen
IMG-GEDIT-16,gpt-image-2-high,output,outputs/image/IMG-GEDIT-16/gpt-image-2-high.png,,measured
IMG-GT2I-15,gpt-image-2-high,output,outputs/image/IMG-GT2I-15/gpt-image-2-high.png,,measured
IMG-GT2I-18,gpt-image-2-high,output,outputs/image/IMG-GT2I-18/gpt-image-2-high.png,,measured
IMG-GT2I-19,gpt-image-2-high,output,outputs/image/IMG-GT2I-19/gpt-image-2-high.png,,measured
IMG-GT2I-28,gpt-image-2-high,output,outputs/image/IMG-GT2I-28/gpt-image-2-high.png,,measured
IMG-GT2I-30,gpt-image-2-high,output,outputs/image/IMG-GT2I-30/gpt-image-2-high.png,,measured
